size,mean,std
1000,668.55,584.5369085866179
1000,707.85,639.2541572019693
1000,650.55,555.4927519779174
1000,674.05,581.5746706141869
1000,675.3,595.8019049986328
1000,696.35,622.4019420760188
1000,681.65,603.0968226578549
1000,696.1,596.7158368939105
1000,674.7,639.8006798996074
1000,695.0,571.274890048565
1000,670.2,594.5392838156281
1000,641.7,551.9702075293557
1000,644.85,566.3311553322844
1000,639.25,562.6694744696925
1000,677.6,596.0312407919571
1000,658.9,563.3034617326615
1000,661.65,568.2708663128878
1000,663.6,563.9769853460334
1000,647.1,583.9619765018953
1000,663.7,580.6783188651011
1000,678.9,623.7545911654679
1000,670.35,587.2038636623571
1000,684.45,589.5131020596574
1000,668.7,609.3072377708967
1000,668.4,572.2817837394442
1000,690.85,595.1040056158251
1000,689.15,581.841711722355
1000,669.55,573.6203426483409
1000,667.75,597.8983504743929
1000,670.65,590.250859804541
1000,680.8,591.837274932899
1000,681.2,605.5836523553126
1000,686.55,599.1256942412
1000,674.5,601.5270151871817
1000,650.35,566.469220258259
1000,639.7,569.1475292048626
1000,670.45,608.9616551967785
1000,699.85,608.1631997252055
1000,671.7,569.8895594762199
1000,694.85,639.6608300498007
1000,693.5,645.1377759827741
1000,650.95,554.9338676815463
1000,659.05,544.0042256269705
1000,685.1,582.3941878144046
1000,660.9,554.7938265698348
1000,666.25,557.5647383936686
1000,678.55,573.373697949252
1000,676.1,593.1347148835583
1000,680.75,602.5835522979365
1000,698.35,598.7693859074628
1000,679.75,606.5578599771006
1000,661.2,582.1121541421378
1000,691.7,592.0693456006652
1000,706.8,650.6602492852933
1000,686.2,600.2787352555478
1000,680.5,589.8217951212043
1000,659.05,562.0859342662828
1000,668.45,579.0182186252864
1000,688.15,598.7044993149792
1000,669.9,594.5494008070312
1000,651.1,554.575324009282
1000,624.1,523.6498734841822
1000,649.3,561.0432336282116
1000,671.3,590.4331545568897
1000,724.3,630.5113083839179
1000,660.0,573.1928122368598
1000,660.5,556.7313086220317
1000,657.75,545.8639368011043
1000,674.7,602.2996845425041
1000,683.8,581.1089054557674
1000,675.1,582.717761871045
1000,629.95,521.9152206057992
1000,669.55,588.7361866744731
1000,680.15,590.299481195774
1000,682.8,624.1307234866747
1000,693.0,619.1494165385283
1000,663.2,600.4546277613323
1000,663.85,575.978018243752
1000,661.7,573.5661339374911
1000,643.35,549.6301279042116
1000,678.3,625.1752634261851
1000,682.55,603.7408363693812
1000,678.35,581.3035158159635
1000,691.35,591.8764039054099
1000,654.85,552.0135664093773
1000,675.05,576.5977779180215
1000,648.15,550.3354227196355
1000,643.65,557.4828943564098
1000,702.75,633.9124052264634
1000,690.1,658.8717553515252
1000,660.1,561.3537120212175
1000,665.45,581.9912348996331
1000,644.9,529.7678642575444
1000,673.2,571.3420691669746
1000,694.85,605.7895488533951
1000,662.85,551.4275813740187
1000,664.7,601.3517356755528
1000,679.75,596.5504484115321
1000,661.35,562.799855632533
1000,646.4,550.2608835815971
1000,642.45,539.3982735419163
1000,678.25,600.6658284770326
1000,632.5,540.2765495558733
1000,657.4,565.5663002690312
1000,632.9,541.6295689860368
1000,656.3,521.2392061232539
1000,654.85,587.2043745579558
1000,726.7,643.8494466876554
1000,656.4,568.3300449562736
1000,695.55,627.7919221366265
1000,687.25,582.3100012021089
1000,648.1,570.8952530893912
1000,671.0,598.5808216105825
1000,702.5,633.477505520125
1000,653.35,569.6501360484345
1000,653.9,560.1605037844064
1000,669.7,565.6031382515482
1000,682.0,592.3267679245976
1000,674.85,576.0772322354009
1000,657.95,581.9229308937739
1000,648.05,584.9134102583048
1000,663.35,585.6485955758795
1000,683.35,609.7583763262297
1000,673.5,545.4885425011234
1000,678.9,597.2309352335996
1000,668.35,620.4037213782651
1000,689.85,594.2974655002324
1000,665.6,581.5295693255847
1000,639.15,545.568306905744
1000,657.4,574.147402676351
1000,654.95,581.638201548007
1000,671.65,594.1622484641716
1000,661.35,570.367142724754
1000,714.85,636.0675887828274
1000,667.85,589.7362779242939
1000,663.9,561.8957109642322
1000,657.7,555.639910373616
1000,688.6,587.3202193011919
1000,643.5,577.2025207845163
1000,642.2,536.8884055369421
1000,628.7,567.2400814470008
1250,668.4,584.134778968005
1250,674.56,585.5944043448503
1250,649.6,540.073920866394
1250,686.96,579.9051287926328
1250,675.12,586.863685705633
1250,677.72,582.3105714307443
1250,652.84,565.0220654098387
1250,666.4,578.4280767735951
1250,668.0,592.4997890294983
1250,687.96,581.9149752326366
1250,680.56,610.7160440008106
1250,684.0,609.5112796331172
1250,669.8,610.2671218409198
1250,668.04,598.391642989773
1250,685.4,602.2398525504601
1250,658.32,556.1032076872062
1250,643.16,559.87428446036
1250,681.96,620.1068927209244
1250,656.32,565.3282741911994
1250,704.32,605.3472867701646
1250,672.8,595.8222553748726
1250,656.4,562.4118064194598
1250,670.0,577.5257570013653
1250,688.32,614.0973681754384
1250,660.24,562.699868846617
1250,659.48,554.8658663136524
1250,685.96,575.0451098826943
1250,650.28,571.4664658577964
1250,650.8,571.5377152909508
1250,665.76,550.8753238256367
1250,653.92,553.003285342863
1250,692.48,603.5788677546623
1250,679.56,592.7598218503006
1250,646.16,566.4179149709162
1250,692.92,625.7059002438765
1250,671.8,605.8834541394905
1250,663.44,555.7403767947764
1250,669.24,598.2673502707632
1250,652.56,578.4681896180637
1250,639.08,572.1212752555178
1250,706.32,626.099079699052
1250,640.52,560.1429546106958
1250,646.36,586.0859582006722
1250,641.84,576.1852257737957
1250,702.76,597.3226786252134
1250,677.56,581.8577544383163
1250,666.52,595.88009666375
1250,672.32,592.504698377996
1250,686.4,595.7105337326175
1250,677.12,602.2130068339608
1250,689.84,644.9316044356951
1250,659.0,601.4191549992402
1250,664.32,567.9638523709058
1250,691.56,589.2832649923125
1250,652.0,545.7655174156755
1250,624.88,534.839214717844
1250,687.8,624.388628980381
1250,653.04,577.4311720023435
1250,688.2,617.7724176426137
1250,651.88,571.8692731735113
1250,668.8,593.8236775339966
1250,708.04,635.3214606795524
1250,661.4,579.2409170630127
1250,673.32,584.6419225474683
1250,662.16,577.2868735732695
1250,657.12,588.6130355335329
1250,647.36,580.5661292221585
1250,675.8,617.083754445051
1250,651.68,591.0542932760069
1250,664.8,575.1043035832718
1250,699.48,586.7007155270906
1250,659.92,585.2055994263897
1250,642.56,551.3734182929024
1250,651.72,573.4204753930574
1250,644.16,568.7300716508668
1250,685.96,625.6875245679747
1250,669.12,597.7076422466088
1250,698.12,609.6740650544355
1250,673.2,599.851448276988
1250,684.12,587.1676298979705
1250,646.2,553.266265011703
1250,658.84,596.975589450691
1250,653.24,578.1310425846375
1250,636.4,562.9556288021286
