,random5M,judy5M,karen5M,perfect5M
1000,0.15850976884922485,0.27931300768255096,0.27005322598879894,0.2921239974794253
750,0.16156656946443151,0.28601676242729457,0.26999052618243574,0.2824261419258381
350,0.15746951656163977,0.2950759983064598,0.28810187070316134,0.25935261442873914
350,0.15430743677318653,0.30206785985963114,0.30208009305212724,0.24154461031505517
250,0.19853593295306524,0.28470106505677373,0.28474601988161735,0.23201698210854363
0,0.1661099278402772,0.2155613592553949,0.25120193925317136,0.36712677365115653
1100,0.1679589319228369,0.22080207721687775,0.2582667100683769,0.35297228079190834
250,0.21042285913988837,0.21393955877490978,0.2465958800021632,0.3290417020830386
1450,0.21010324870477282,0.21511109922171004,0.2462496311881132,0.32853602088540407
0,0.17059287812022716,0.1885915450376101,0.23628254047691402,0.4045330363652487
